"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","喜欢打雪仗的早川秋","官方怎么发换了个新头像？[笑哭]","12","2024-10-20 19:57:32","245073105504","3546375904037838"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","虾仁诛心多吃虾","这个时候就需要[妙啊][妙啊]","10","2024-10-18 13:36:20","244654551665","1321164380"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","民国豌豆","注：乱破其实刚来的时候就遇到危机，然后被银枝给救了，纯美神选，质量保证[tv_doge][tv_doge](纯美是真的偏爱银枝)","1789","2024-10-18 12:02:04","244864645136","484465441"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","评论员玛奇玛","原来真有忍者之国啊，我还以为是在研究室看漫画后的幻想呢[墨镜]","21","2024-10-23 14:48:20","245042110305","204417874"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","大地怒吼","乱破如果能培养一只军队的话，感觉战斗力会飙升。 因为他们可以命名为“破军”！","881","2024-10-18 12:31:28","244866934752","24031929"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","凉乞讨","完了，官方已经被攻占了","10","2024-10-20 19:04:48","244842382481","3546718475913581"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","忘归大黑塔不出不改名","哥你这是咋了?被博士入侵公司了[笑哭]","18","2024-10-21 06:32:55","244875596465","3493295174978471"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","cookie-NANA","呜～～[惊喜][惊喜][惊喜]乱破！[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇]","20","2024-10-18 14:36:37","244875478992","30751170"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","小小岸呀","这又被夺舍了？","9","2024-10-20 18:05:21","245064060544","3494373419387505"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","TOM-Takeonme","说实话要是老米能像鹰角那些能单独切换角色配音就好了，有些角色确实日语合适点，比如乱破，看中配pv脚趾已经抠出三室一厅了[笑哭]","5","2024-10-18 20:56:06","244903485344","477779338"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","迷路的阿漠","画师从绝区零借的吗？","7","2024-10-18 16:22:29","244881841232","1262147016"
